Id,AlarmNo,AlarmName,TagNo,Name,AlarmBit,AlarmText,Severity,AlarmTime,AlarmResetTime,AlarmAckTime,Description,Remark
1,1,Abnormal startup conditions,31,PD_ALARMS1,0,Abnormal startup conditions,High,,,,Check whether the startup conditions are correctly established (can be checked with the startup condition monitor),
2,2,IPC communication abnormalities,31,PD_ALARMS1,1,IPC communication abnormalities,High,,,,Check if PLC and IPC communication cables are not interrupted,
3,3,Pressure drop alarm,31,PD_ALARMS1,2,Pressure drop alarm,High,,,,Checking that the main air is supplied correctly,
4,4,SV1 alarm anomaly,31,PD_ALARMS1,3,SV1 alarm anomaly,High,,,,Check the status of the alarm and contact the manufacturer if you are unsure of the problem,
5,5,SV2 alarm anomaly,31,PD_ALARMS1,4,SV2 alarm anomaly,High,,,,Check the status of the alarm and contact the manufacturer if you are unsure of the problem,
6,6,CCD controller abnormality,31,PD_ALARMS1,5,CCD controller abnormality,High,,,,Check the status of the alarm and contact the manufacturer if you are unsure of the problem,
7,7,STAMP1 Alarm Abnormality,31,PD_ALARMS1,6,STAMP1 Alarm Abnormality,High,,,,Check the status of the alarm and contact the manufacturer if you are unsure of the problem,
8,8,STAMP2 Alarm Abnormality,31,PD_ALARMS1,7,STAMP2 Alarm Abnormality,High,,,,Check the status of the alarm and contact the manufacturer if you are unsure of the problem,
9,9,Alarm spare,31,PD_ALARMS1,8,Alarm spare,High,,,,,
10,10,Alarm spare,31,PD_ALARMS1,9,Alarm spare,High,,,,,
11,11,Tray lift abnormality,31,PD_ALARMS1,10,Tray lift abnormality,High,,,,Check if the sensor is responding correctly,
12,12,Tray lift descent anomaly,31,PD_ALARMS1,11,Tray lift descent anomaly,High,,,,Check if the sensor is responding correctly,
13,13,Positioning cylinder 1 descent anomaly,31,PD_ALARMS1,12,Positioning cylinder 1 descent anomaly,High,,,,Check if the sensor is responding correctly,
14,14,Positioning cylinder 1 Rise anomaly,31,PD_ALARMS1,13,Positioning cylinder 1 Rise anomaly,High,,,,Check if the sensor is responding correctly,
15,15,Positioning cylinder 2 descent anomaly,31,PD_ALARMS1,14,Positioning cylinder 2 descent anomaly,High,,,,Check if the sensor is responding correctly,
16,16,Spare-16,31,PD_ALARMS1,15,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
17,17,Spare-17,32,PD_ALARMS2,0,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
18,18,Spare-18,32,PD_ALARMS3,1,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
19,19,Spare-19,32,PD_ALARMS4,2,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
20,20,Spare-20,32,PD_ALARMS5,3,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
21,21,Section-1 Cycle time over,32,PD_ALARMS6,4,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
22,22,Section-2 Cycle time over,32,PD_ALARMS7,5,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
23,23,Section-3 Cycle time over,32,PD_ALARMS8,6,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
24,24,RTO Cycle time over,32,PD_ALARMS9,7,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
25,25,Spare-25,32,PD_ALARMS10,8,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
26,26,Spare-26,32,PD_ALARMS11,9,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
27,27,Spare-27,32,PD_ALARMS12,10,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
28,28,Spare-28,32,PD_ALARMS13,11,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
29,29,Spare-29,32,PD_ALARMS14,12,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
30,30,Spare-30,32,PD_ALARMS15,13,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
31,31,Spare-31,32,PD_ALARMS16,14,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
32,32,Spare-32,32,PD_ALARMS17,15,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
33,33,Spare-33,33,PD_ALARMS18,0,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
112,112,Spare-112,37,PD_ALARMS19,15,Positioning cylinder 2 Rise anomaly,High,,,,Check if the sensor is responding correctly,
